epoch,loss,r5_cosmx,r5_xenium,r5_mean
1,5.27919893228828,0.011333333333333334,0.008333333333333333,0.009833333333333333
2,4.966216714537922,0.0135,0.0085,0.011
3,4.872684221171854,0.012833333333333334,0.009333333333333334,0.011083333333333334
4,4.816755255263056,0.015,0.010833333333333334,0.012916666666666667
5,4.776948286660352,0.0165,0.010833333333333334,0.013666666666666667
6,4.7458611684827945,0.015666666666666666,0.011166666666666667,0.013416666666666667
7,4.722914971298908,0.017333333333333333,0.013166666666666667,0.01525
8,4.700435337708823,0.0175,0.012333333333333333,0.014916666666666668
9,4.6825844402888315,0.018166666666666664,0.012333333333333333,0.01525
10,4.668609752726915,0.0205,0.012666666666666666,0.016583333333333332
11,4.656418747039297,0.02033333333333333,0.012666666666666666,0.0165
12,4.6445753268860095,0.020999999999999998,0.013333333333333332,0.017166666666666663
13,4.634999770015927,0.021166666666666667,0.013666666666666667,0.017416666666666667
14,4.628153067138327,0.021333333333333336,0.013666666666666667,0.0175
15,4.622045724835228,0.022,0.012666666666666666,0.017333333333333333
16,4.61505942668148,0.023333333333333334,0.0135,0.018416666666666668
17,4.609490907970985,0.0235,0.013833333333333333,0.018666666666666665
18,4.60650232149728,0.02383333333333333,0.013833333333333333,0.018833333333333334
19,4.604145243539283,0.0235,0.014333333333333333,0.018916666666666665
20,4.600647007400666,0.02366666666666667,0.0135,0.018583333333333334
21,4.598667114224266,0.0235,0.013833333333333333,0.018666666666666665
22,4.5983665073337265,0.0235,0.014,0.01875
23,4.597290877121777,0.0235,0.013833333333333333,0.018666666666666665
24,4.595973411996161,0.0235,0.014166666666666668,0.018833333333333334
25,4.596660231825095,0.0235,0.014166666666666668,0.018833333333333334
